5.2 Cataracts      Use of corticosteroids may result in posterior subcapsular cataract formation.,result in is not a named entity
BOXED WARNING: WARNING: ASTHMA-RELATED DEATH      WARNING    : ASTHMA-RELATED DEATH        L    ong-acting beta    2    -adrenergic agonist    s         (LABA)     increase the risk of asthma-related death.,DEATH is an adverse reaction entity
BOXED WARNING: WARNING: ASTHMA-RELATED DEATH      WARNING    : ASTHMA-RELATED DEATH        L    ong-acting beta    2    -adrenergic agonist    s         (LABA)     increase the risk of asthma-related death.,) increase is not a named entity
BOXED WARNING: WARNING: ASTHMA-RELATED DEATH      WARNING    : ASTHMA-RELATED DEATH        L    ong-acting beta    2    -adrenergic agonist    s         (LABA)     increase the risk of asthma-related death.,-adrenergic is not a named entity
BOXED WARNING: WARNING: ASTHMA-RELATED DEATH      WARNING    : ASTHMA-RELATED DEATH        L    ong-acting beta    2    -adrenergic agonist    s         (LABA)     increase the risk of asthma-related death.,death is an adverse reaction entity
BOXED WARNING: WARNING: ASTHMA-RELATED DEATH      WARNING    : ASTHMA-RELATED DEATH        L    ong-acting beta    2    -adrenergic agonist    s         (LABA)     increase the risk of asthma-related death.,DEATH is an adverse reaction entity
Inhalation of high doses of beta2-adrenergic agonists may produce increases in plasma glucose.,increases in plasma glucose is an adverse reaction entity
Inhalation of high doses of beta2-adrenergic agonists may produce increases in plasma glucose.,in plasma is not a named entity
"Cough following inhalation in clinical trials was not associated with bronchospasm, exacerbations, deteriorations of disease or loss of efficacy.",clinical trials was is not a named entity
"Cough following inhalation in clinical trials was not associated with bronchospasm, exacerbations, deteriorations of disease or loss of efficacy.",not is not a named entity
"Cough following inhalation in clinical trials was not associated with bronchospasm, exacerbations, deteriorations of disease or loss of efficacy.",Cough is an adverse reaction entity
"Cough following inhalation in clinical trials was not associated with bronchospasm, exacerbations, deteriorations of disease or loss of efficacy.","bronchospasm , exacerbations is not a named entity"
"Cough following inhalation in clinical trials was not associated with bronchospasm, exacerbations, deteriorations of disease or loss of efficacy.",bronchospasm is an adverse reaction entity
"Cough following inhalation in clinical trials was not associated with bronchospasm, exacerbations, deteriorations of disease or loss of efficacy.",loss of efficacy is an adverse reaction entity
*  A placebo-controlled study with another long-acting beta2-adrenergic agonist (salmeterol) showed an increase in asthma-related deaths in patients receiving salmeterol.,deaths is an adverse reaction entity
*  A placebo-controlled study with another long-acting beta2-adrenergic agonist (salmeterol) showed an increase in asthma-related deaths in patients receiving salmeterol.,study with another is not a named entity
Data from a large placebo-controlled US study that compared the safety of another long-acting beta    2    -adrenergic agonist (salmeterol) or placebo added to usual asthma therapy showed an increase in asthma-related deaths in patients receiving salmeterol.,deaths is an adverse reaction entity
Data from a large placebo-controlled US study that compared the safety of another long-acting beta    2    -adrenergic agonist (salmeterol) or placebo added to usual asthma therapy showed an increase in asthma-related deaths in patients receiving salmeterol.,an increase in is not a named entity
"EXCERPT:   Most common adverse reactions (>2% and more common than placebo) are cough, oropharyngeal pain, nasopharyngitis, headache and nausea.",cough is an adverse reaction entity
"EXCERPT:   Most common adverse reactions (>2% and more common than placebo) are cough, oropharyngeal pain, nasopharyngitis, headache and nausea.",than placebo ) is not a named entity
"EXCERPT:   Most common adverse reactions (>2% and more common than placebo) are cough, oropharyngeal pain, nasopharyngitis, headache and nausea.",headache is an adverse reaction entity
"EXCERPT:   Most common adverse reactions (>2% and more common than placebo) are cough, oropharyngeal pain, nasopharyngitis, headache and nausea.",EXCERPT : Most is not a named entity
"EXCERPT:   Most common adverse reactions (>2% and more common than placebo) are cough, oropharyngeal pain, nasopharyngitis, headache and nausea.",> 2 % is not a named entity
"EXCERPT:   Most common adverse reactions (>2% and more common than placebo) are cough, oropharyngeal pain, nasopharyngitis, headache and nausea.",nausea is an adverse reaction entity
"EXCERPT:   Most common adverse reactions (>2% and more common than placebo) are cough, oropharyngeal pain, nasopharyngitis, headache and nausea.",oropharyngeal pain is an adverse reaction entity
"EXCERPT:   Most common adverse reactions (>2% and more common than placebo) are cough, oropharyngeal pain, nasopharyngitis, headache and nausea.",placebo ) are is not a named entity
"EXCERPT:   Most common adverse reactions (>2% and more common than placebo) are cough, oropharyngeal pain, nasopharyngitis, headache and nausea.",( is not a named entity
"EXCERPT:   Most common adverse reactions (>2% and more common than placebo) are cough, oropharyngeal pain, nasopharyngitis, headache and nausea.",nasopharyngitis is an adverse reaction entity
"The most common serious adverse reactions were COPD exacerbation, pneumonia, angina pectoris, and atrial fibrillation, which occurred at similar rates across treatment groups.",were COPD exacerbation is not a named entity
"The most common serious adverse reactions were COPD exacerbation, pneumonia, angina pectoris, and atrial fibrillation, which occurred at similar rates across treatment groups.",atrial fibrillation is an adverse reaction entity
"The most common serious adverse reactions were COPD exacerbation, pneumonia, angina pectoris, and atrial fibrillation, which occurred at similar rates across treatment groups.",angina pectoris is an adverse reaction entity
"The most common serious adverse reactions were COPD exacerbation, pneumonia, angina pectoris, and atrial fibrillation, which occurred at similar rates across treatment groups.",similar rates is not a named entity
"The most common serious adverse reactions were COPD exacerbation, pneumonia, angina pectoris, and atrial fibrillation, which occurred at similar rates across treatment groups.",pneumonia is an adverse reaction entity
"The most common serious adverse reactions were COPD exacerbation, pneumonia, angina pectoris, and atrial fibrillation, which occurred at similar rates across treatment groups.",COPD exacerbation is an adverse reaction entity
"The most common serious adverse reactions were COPD exacerbation, pneumonia, angina pectoris, and atrial fibrillation, which occurred at similar rates across treatment groups.",fibrillation is not a named entity
"The most common serious adverse reactions were COPD exacerbation, pneumonia, angina pectoris, and atrial fibrillation, which occurred at similar rates across treatment groups.",", angina pectoris is not a named entity"
There were no deaths in the ARCAPTA NEOHALER 600 mcg dose group or in the salmeterol active control group.,deaths is an adverse reaction entity
There were no deaths in the ARCAPTA NEOHALER 600 mcg dose group or in the salmeterol active control group.,group or is not a named entity
"Serious adverse reactions related to asthma exacerbation were reported for 2 patients in the indacaterol 300 mcg group, 3 patients in the indacaterol 600 mcg group, and no patients in the salmeterol active control group.",asthma exacerbation is an adverse reaction entity
"Serious adverse reactions related to asthma exacerbation were reported for 2 patients in the indacaterol 300 mcg group, 3 patients in the indacaterol 600 mcg group, and no patients in the salmeterol active control group.",indacaterol 600 mcg is not a named entity
"5.8     Hypokalemia and Hyperglycemia      Beta2-agonist medications may produce significant hypokalemia in some patients, possibly through intracellular shunting, which has the potential to produce adverse cardiovascular effects [ see Clinical Pharmacology (12.2)  ].",has is not a named entity
"5.8     Hypokalemia and Hyperglycemia      Beta2-agonist medications may produce significant hypokalemia in some patients, possibly through intracellular shunting, which has the potential to produce adverse cardiovascular effects [ see Clinical Pharmacology (12.2)  ].",adverse cardiovascular effects is an adverse reaction entity
"5.8     Hypokalemia and Hyperglycemia      Beta2-agonist medications may produce significant hypokalemia in some patients, possibly through intracellular shunting, which has the potential to produce adverse cardiovascular effects [ see Clinical Pharmacology (12.2)  ].",hypokalemia is an adverse reaction entity
"5.8     Hypokalemia and Hyperglycemia      Beta2-agonist medications may produce significant hypokalemia in some patients, possibly through intracellular shunting, which has the potential to produce adverse cardiovascular effects [ see Clinical Pharmacology (12.2)  ].",has the potential is not a named entity
"6 ADVERSE REACTIONS    The following risk is discussed elsewhere in the labeling:     *  Hypotension and Reflex Tachycardia   [see Warnings and Precautions (5.2)]           EXCERPT:   Most common adverse reactions (>2%) are headache, nausea, and vomiting.",6 is not a named entity
"6 ADVERSE REACTIONS    The following risk is discussed elsewhere in the labeling:     *  Hypotension and Reflex Tachycardia   [see Warnings and Precautions (5.2)]           EXCERPT:   Most common adverse reactions (>2%) are headache, nausea, and vomiting.",Reflex Tachycardia is an adverse reaction entity
"6 ADVERSE REACTIONS    The following risk is discussed elsewhere in the labeling:     *  Hypotension and Reflex Tachycardia   [see Warnings and Precautions (5.2)]           EXCERPT:   Most common adverse reactions (>2%) are headache, nausea, and vomiting.",vomiting is an adverse reaction entity
"6 ADVERSE REACTIONS    The following risk is discussed elsewhere in the labeling:     *  Hypotension and Reflex Tachycardia   [see Warnings and Precautions (5.2)]           EXCERPT:   Most common adverse reactions (>2%) are headache, nausea, and vomiting.",headache is an adverse reaction entity
"6 ADVERSE REACTIONS    The following risk is discussed elsewhere in the labeling:     *  Hypotension and Reflex Tachycardia   [see Warnings and Precautions (5.2)]           EXCERPT:   Most common adverse reactions (>2%) are headache, nausea, and vomiting.",Hypotension is an adverse reaction entity
"6 ADVERSE REACTIONS    The following risk is discussed elsewhere in the labeling:     *  Hypotension and Reflex Tachycardia   [see Warnings and Precautions (5.2)]           EXCERPT:   Most common adverse reactions (>2%) are headache, nausea, and vomiting.",are is not a named entity
"6 ADVERSE REACTIONS    The following risk is discussed elsewhere in the labeling:     *  Hypotension and Reflex Tachycardia   [see Warnings and Precautions (5.2)]           EXCERPT:   Most common adverse reactions (>2%) are headache, nausea, and vomiting.",EXCERPT : Most is not a named entity
"6 ADVERSE REACTIONS    The following risk is discussed elsewhere in the labeling:     *  Hypotension and Reflex Tachycardia   [see Warnings and Precautions (5.2)]           EXCERPT:   Most common adverse reactions (>2%) are headache, nausea, and vomiting.",nausea is an adverse reaction entity
"6 ADVERSE REACTIONS    The following risk is discussed elsewhere in the labeling:     *  Hypotension and Reflex Tachycardia   [see Warnings and Precautions (5.2)]           EXCERPT:   Most common adverse reactions (>2%) are headache, nausea, and vomiting.","nausea , and is not a named entity"
"6 ADVERSE REACTIONS    The following risk is discussed elsewhere in the labeling:     *  Hypotension and Reflex Tachycardia   [see Warnings and Precautions (5.2)]           EXCERPT:   Most common adverse reactions (>2%) are headache, nausea, and vomiting.",% is not a named entity
